Sector,Project Name,Project Name_English,Analysis,Analysis Information Extracted,Type,Type English,URL,Date,File Size,Document_ID,Project_ID,Feasibility Study Type,Recommendation,Description of Recommendation,Feasibility_Study_Complete,EIIR_Estimated,EIIR_Above_Viable,Climate Change Mentioned,LLM Model Used
Budovy,Rozvoj fakultnej nemocnice Trnava,Development of the Trnava Faculty Hospital,,,analýza,analysis,https://www.mfsr.sk/files/archiv/92/Hodnotenie_Fakultna-nemocnica-TT_16122022.pdf,16.12.2022,314 kB,3.011,SLK_BD-023,,,,,,,,
Budovy,Reforma súdnej mapy v Bratislave,Reform of the court map in Bratislava,Analyzed,"Key Recommendations of the Ministry of Finance (MF SR) for the project ""Reforma súdnej mapy v Bratislave"":

1. Reduce overall project costs by at least 8.6 million EUR (without VAT)
   - Achieve this by negotiating a reduction of the purchase price by the estimated fit-out/adaptation costs.

2. Reconsider the selection of the specific building
   - Choosing a different building than the currently preferred one could yield additional savings of 8.7 million EUR (without VAT).

3. Adjust the scope of the project to achieve theoretical savings of 5.5 million EUR
   - Alternatively, seek options for effective use of surplus space above the Ministry of Justice’s requirements (almost 3,000 m²), e.g., through commercial rental (such as for a cafeteria/restaurant) or by placing another state institution in the building.

4. Obtain an independent property valuation (at least one RICS-standard appraisal)
   - This should be done before negotiations with the property owner on price reduction.

5. Commercialize surplus parking spaces
   - Any parking beyond the needs of court employees (potentially up to 150 spaces) should be rented out, sold, or made accessible to the public.

6. Offer surplus court buildings to other state institutions or sell them commercially if unneeded
   - The estimated potential value is about 28 million EUR (without VAT). A more precise estimate requires expert property appraisals.

7. After preparing project documentation, submit reconstruction projects for Bratislava I & II City Courts and the Bratislava Administrative Court for MoF’s economic review.

8. Continue project preparation and submit an updated feasibility study for MoF assessment  
   - This should be done before a binding commitment is made under §19a par. 4 of law no. 523/2004 Coll.

In summary: The MF SR recommends reducing costs via negotiation and building choice, maximizing the use of surplus space and parking, verifying property values independently, and following proper procedures for reconstruction and asset disposition. All steps should be taken with close regard to deadlines and the requirements of the Recovery and Resilience Plan.",analýza,analysis,https://www.mfsr.sk/files/archiv/95/Hodnotenie_Reforma_sudnej_mapy_BA20230118PDF.pdf,18.1.2023,451 kB,3.012,SLK_BD-022,,,,,,,,
Budovy,Národný ústav detských chorôb - koncepcia rozvoja na najbližších 15 rokov,National Institute of Children's Diseases - development concept for the next 15 years,,,analýza,analysis,https://www.mfsr.sk/files/archiv/78/Hodnotenie_NUDCH_20230203.pdf,3.2.2023,294 kB,3.013,SLK_BD-021,,,,,,,,
Budovy,Smart Green Hospital Prešov,Smart Green Hospital Prešov,,,analýza,analysis,https://www.mfsr.sk/files/archiv/37/FN-Presov-20230220_hodnotenie.pdf,3.3.2023,259 kB,3.014,SLK_BD-020,,,,,,,,
Budovy,Obnova a rozvoj Kúpeľov Sliač,Restoration and development of Spa Sliač,,,analýza,analysis,https://www.mfsr.sk/files/archiv/55/Hodnotenie_Kupele_Sliac_UHP.pdf,16.3.2023,399 kB,3.015,SLK_BD-019,,Neutral,"Proceed with Phase A (254 beds, ~€60m) and reassess later phases. The ministry flags the financial model as optimistic—after demand adjustments, the preferred A+B variant becomes financially non-viable (NPV −€14.9m vs. originally +€23.2m). UHP recommends a downsized 664-bed variant with an estimated NPV of about €30.4m, cost savings of at least €3.2m by scaling the pool and parking, a 70% occupancy threshold before further expansion, and prioritizing renovation of LD Palace over new builds.",No,Not specified,Not specified - The document provides NPVs (−€14.9m for the adjusted preferred variant; about +€30.4m for the UHP-recommended 664-bed variant) but does not report an IRR or BCR.,No,gpt-5
Budovy,Rekonštrukcia Nemocnice Poprad,Reconstruction of Poprad Hospital,,,analýza,analysis,https://www.mfsr.sk/files/archiv/34/Nemocnica-Poprad_hodnotenie.pdf,6.4.2023,184 kB,3.016,SLK_BD-018,,,,,,,,
Budovy,Koncepcia rozvoja Univerzitnej nemocnice L. Pasteura Košice,Development concept of the L. Pasteur University Hospital in Košice,,,analýza,analysis,https://www.mfsr.sk/files/archiv/51/UNLP-KE-hodnotenie_20230419_f.pdf,19.4.2023,274 kB,3.017,SLK_BD-017,,,,,,,,
Budovy,Rekonštrukcia Nemocnice Poprad (aktualizácia),Reconstruction of the Poprad Hospital (update),,,analýza,analysis,https://www.mfsr.sk/files/archiv/65/Aktualizacia_Nemocnica-Poprad.pdf,28.4.2023,202 kB,3.018,SLK_BD-016,,,,,,,,
Budovy,Obnova areálu Rastislavova UNLP,Renewal of the Rastislavova UNLP campus,,,analýza,analysis,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenie-investicnych-projektov/unlp_rastislavova_hodnotenie_uhp.pdf,29.6.2023,163 kB,3.019,SLK_BD-015,,,,,,,,
Budovy,Východoslovenský onkologický ústav,Eastern Slovak Institute of Oncology,,,analýza,analysis,https://www.mfsr.sk/files/archiv/43/VOU_20230719.pdf,19.7.2023,200 kB,3.02,SLK_BD-014,,,,,,,,
Budovy,Budova Najvyššieho súdu SR,The building of the Supreme Court of the Slovak Republic,,,analýza,analysis,https://www.mfsr.sk/files/archiv/78/Hodnotenie_UHP_NS-SR.pdf,17.8.2023,695 kB,3.021,SLK_BD-013,,Neutral,"The Ministry of Finance provides a recommendation with several reservations. While the reconstruction is considered the most advantageous option according to the CBA, there are concerns about underestimated costs, unclear financing, and whether the project will fully meet the needs of a modern court. The recommendation includes several conditions and suggestions for further analysis before proceeding.",No,Not specified,"Not specified - The document does not provide a specific EIIR or benefit-cost ratio, nor does it state whether the EIIR is above a viability threshold.",No,gpt-4.1
Budovy,Výstavba novej univerzitnej nemocnice v Martine (aktualizácia č.2),Construction of a new university hospital in Martin (update no. 2),,,analýza,analysis,https://www.mfsr.sk/files/archiv/9/Aktualizacia2_nUNM_UHP_hodnotenie.pdf,28.8.2023,428 kB,3.022,SLK_BD-012,,,,,,,,
Budovy,Koncepcia rozvoja Fakultnej nemocnice s poliklinikou F. D. Roosevelta Banská Bystrica (aktualizácia),Development concept of the Faculty Hospital with the F. D. Roosevelt Polyclinic Banská Bystrica (update),,,analýza,analysis,https://www.mfsr.sk/files/archiv/86/Aktualizacia_FNsP-BB_20230914.pdf,14.9.2023,213 kB,3.023,SLK_BD-007,,,,,,,,
Budovy,FN Žilina – Výstavba nového pavilónu urgentnej medicíny,FN Žilina – Construction of a new emergency medicine pavilion,,,analýza,analysis,https://www.mfsr.sk/files/archiv/80/Hodnotenie_FN-Zilina.pdf,3.11.2023,,3.024,SLK_BD-011,,,,,,,,
Budovy,Rekonštrukcia Nemocnice Poprad (aktualizácia pred podpisom zmluvy),Reconstruction of the Poprad Hospital (update before signing the contract),,,analýza,analysis,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/nemocnica_poprad_hodnotenie-uhp_aktualizacia-pred-podpisom.pdf,7.2.2024,158 kB,3.025,SLK_BD-010,,,,,,,,
Budovy,"Prenájom priestorov pre Ministerstvo školstva, výskumu, vývoja a mládeže SR","Lease of premises for the Ministry of Education, Research, Development and Youth of the Slovak Republic",,,analýza,analysis,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/hodnotenie_prenajom-priestorov-msvvam.pdf,13.3.2024,321 kB,3.026,SLK_BD-009,,,,,,,,
Budovy,Výstavba novej univerzitnej nemocnice v Martine (aktualizácia pred podpisom zmluvy),Construction of the new university hospital in Martin (update before signing the contract),,,analýza,analysis,https://www.mfsr.sk/files/archiv/45/Aktualizacia3_nUNM_20240605.pdf,5.6.2024,170 kB,3.027,SLK_BD-008,,Neutral,"The assessment does not explicitly endorse or reject the project. It highlights a significant funding gap (winning bid 375 mil. EUR without VAT vs. 256.7 mil. EUR allocated) and unfunded medical equipment (73 mil. EUR). It recommends securing financing primarily from the Recovery and Resilience Plan, considering reallocation within its components, adopting optimization measures to reduce construction costs, and continuously informing the Ministry of Finance.",Not specified,Not specified,"Not specified - The document provides no EIIR/BCR; it is an update focused on procurement outcomes, cost overruns, financing options, and cost-optimization recommendations.",No,gpt-5
Budovy,Koncepcia rozvoja Fakultnej nemocnice s poliklinikou F. D. Roosevelta Banská Bystrica (aktualizácia),Development concept of the Faculty Hospital with the F. D. Roosevelt Polyclinic Banská Bystrica (update),,,hodnotenie,evaluation,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/aktualizacia_fnsp-bb.pdf,27.6.2024,183 kB,3.028,SLK_BD-035,,,,,,,,
Budovy,Rekonštrukcia kaštieľa v Rusovciach (aktualizácia pred podpisom zmluvy),Reconstruction of the mansion in Rusovce (update before signing the contract),,,hodnotenie,evaluation,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/hodnotenie_rusovce_aktualizacia_pred_podpisom.pdf,2.7.2024,173 kB,3.029,SLK_BD-006,,,,,,,,
Budovy,Reforma súdnej mapy v Bratislave (aktualizácia),Reform of the court map in Bratislava (update),Analyzed,"The provided document (ID: 3.03) is an economic evaluation from the Ministry of Finance SR (Útvar hodnoty za peniaze) regarding the project ""Reforma súdnej mapy v Bratislave""—specifically the updated investment for purchasing a new court building for Bratislava III and IV city courts.

Regarding Whether the Recommendations Were Followed:

- The document explicitly lists a set of recommendations issued for implementation before signing the contract/committing to the investment. These are mainly:
    - Verifying available funding and ensuring coverage of all necessary costs (purchase + fit-out).
    - Informing the Ministry of Finance about plans for vacated (surplus) buildings and offering them for state or commercial use.
    - Submitting an updated feasibility study for review under §19a of Act 523/2004 Coll.
- The content then notes:
    - Requirements for building size and features were adjusted based on recommendations, notably:
        - Storage/archive space requirements were reduced, resulting in a decrease of ~900 m² from the original area, as per investor reassessment,
        - The number of parking spaces required was lowered from over 300 to ~180, matching previous assessment recommendations.
    - There is reference to the use of a real estate advisory company's analysis to define adequate premises by modern standards, consistent with the guidance provided.

Direct evidence on implementation:
- While the text details reflection on recommendations (reduction of storage, parking space), it does not provide conclusive, post-fact reporting on whether all recommendations have been followed or executed.

Key recommendations made by the Ministry of Finance (MoF) – ÚHP for this project:

Before signing the contract for the purchase of the building:
1. Verify the availability of funds from the Recovery and Resilience Plan (POO) – and ensure these funds cover, in addition to the purchase, any other necessary expenditures needed to put the Bratislava III and IV city courts into operation (e.g., necessary construction modifications, interior equipment, etc.).
2. Inform the Ministry of Finance about the plan for using the vacated buildings. Redundant buildings should first be offered to other state institutions, and if there is no interest, they should be sold commercially.
3. Submit the updated feasibility study for evaluation by the Ministry of Finance under §19a section 4b of Act No. 523/2004 Coll. on budgetary rules of public administration (and subsequent amendments).

Summary:  
- Ensure all costs (not just purchase price) are covered by available funding.  
- Provide information and seek optimal use or sale of vacated court buildings.  
- Submit updated project documentation for formal MoF assessment and compliance with legal requirements.
- For example, recommendations concerning negotiation of lower purchase price, alternative building selection, securing independent property valuation, and commercialization of surplus parking or space are not addressed as complete/incomplete—they are presented as tasks ""before contract conclusion.""
- The requirement to report on plans for surplus properties and provide updates to MoF is also stated as a forward-looking obligation.

Summary:

Reduction of building/storage space —> YES — storage/archives reduced, overall area lowered.
Reduction/adjustment of parking requirements —>                                   YES — requirement lowered to align with previous advice.
Negotiation of price, consideration of alternate buildings, independent valuation, parking commercialization, asset disposition —> IN PROGRESS/NOT YET COMPLETE — tasks for pre-contract phase
Submission of updated feasibility study —> IN PROGRESS — recommended before binding commitment.

Conclusion:  
The document shows that some recommendations, especially those related to project specifications (area, parking), have been incorporated. However, the main financial/strategic recommendations (price negotiation, evaluation, asset commercialization, and comprehensive reporting to the Ministry) are listed as pending steps that must be completed prior to contract signature. There is no confirmation in the document that these recommendations have already been followed; rather, their implementation is a requirement moving forward",hodnotenie,evaluation,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/aktualizacia_mestsky-sud-ba-iii-iv.pdf,26.7.2024,192 kB,3.03,SLK_BD-005,,,,,,,,
Budovy,Rekonštrukcia internátu Hviezda,Reconstruction of the Hviezda dormitory,,,hodnotenie,evaluation,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/hodnotenie_rekonstrukcia_internatu_hviezda.pdf,22.8.2024,461 kB,3.031,SLK_BD-004,,Neutral,"The assessment is cautious: centralization may be justified but effective use would require at least 723 employees on 10.8k m2, while the ministry has about 490 now and circa 550 projected by 2030 (implying ~20 m2/employee). Costs are high (3,200 EUR/m2 vs. 1,200–2,400 EUR/m2 typical), project costs rose from 34.8 to 59.2 million EUR, alternatives were not fully analyzed (e.g., continued use of current spaces or new build), and the project is not in the ministry’s investment priorities. The assessment provides conditions and recommendations rather than a clear go/no-go.",No,Not specified,"Not specified - The document provides no EIIR/BCR; the assessment focuses on utilization, cost per m2, cost escalation, alternatives, and prioritization issues.",No,gpt-5
Budovy,Reforma súdnej mapy v Bratislave (aktualizácia pred podpisom zmluvy),Reform of the court map in Bratislava (update before signing the contract),Analyzed,"Here is a structured analysis of compliance with the Ministry of Finance (ÚHP) key recommendations for Document ID: 3.032 (Reforma súdnej mapy v Bratislave):

---

 1. Verification of Availability of Funding for All Project Needs (purchase & operationalization)
Recommendation:  
Verify availability of Recovery and Resilience Plan funds (POO), ensuring they cover the purchase plus all other expenditures required to put the courts into operation (construction, equipment, etc.).

Extent of Implementation:  
Partially followed.

Evidence from Document:
- The document details the sources:  
   - POO funds allocated for the purchase (€46.2m),  
   - Additional POO funds for covering a €1.6m shortfall by redirecting from unspent court reconstruction allocations,  
   - DPH (€9.5m) paid from the state budget.
- The document explicitly mentions €0.9m from POO earmarked for additional technical equipment (notably a new archive shelving system), and states the building will be delivered ""in a state that enables full operation.""
- Explicit recommendation to update the POO budget in cooperation with NIKA to reflect the €1.6m transfer for the building.
  
Gaps/Observations:
- The document emphasizes the necessity of confirming projected low operating costs and covering all related expenditurres, but there’s no explicit confirmation that all potential operational, IT, or unplanned fit-out costs have already been fully accounted for in the POO financial plan (there are recommendations for further updates and cost verifications).

---

 2. Reporting and Planning for Use/Sale of Vacated Buildings
Recommendation:  
The Ministry of Justice should inform the MoF how it intends to use court buildings vacated after the move. Redundant buildings should be offered for other state use first, then sold if not needed.

Extent of Implementation:  
Partially followed.

Evidence from Document:
- The document identifies which buildings will be vacated:
    - The leased building on Medená street (will cease rental, saving €0.6m/year).
    - Three state-owned buildings: One is planned for the Administrative Court (currently renting elsewhere for €1.3m/year), the intended purpose for the remaining two is not determined.
- States explicitly: ""On the use of the other two buildings, the final decision has not yet been made.""
- Recommends: ""Provide a specific plan and practical approach"" for surplus office and parking spaces in the new building (“hľadať vhodné využitie, resp. ich komerčne prenajať...”).

Gaps/Observations:
- Transfer of Administrative Court is specified, but not for the other two.
- No documented evidence that the redundant buildings have been offered to other state institutions per the recommendation, nor is there a plan for commercial sale if not needed.
- Commitment to adjust budget impacts pending these decisions (“zníženie výdavkov ... je potrebné zohľadniť v rozpočte”).

---

 3. Submission of Updated Feasibility Study to MoF Under §19a
Recommendation:  
Submit an updated feasibility study for MoF formal assessment as required under budgetary rules (§19a sec. 4b).

Extent of Implementation:  
Followed.

Evidence from Document:
- This document is an ""aktualizácia ekonomického hodnotenia investície podľa §19a zákona č. 523/2004 Z. z."" (an update of the economic assessment under the correct legal provision), before contract signature, as requested by the MoF.
- The document gives explicit reference to a 2022 feasibility study and summarizes all key financial and operational elements.
- Includes comparative NPV tables and a complete breakdown of financial flows for 2024-2027.
- Thus, this recommendation for submission pursuant to §19a is observed.",hodnotenie,evaluation,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/aktualizacia_pred_podpisom_mss_bratislava.pdf,15.10.2024,176 kB,3.032,SLK_BD-003,,,,,,,,
Budovy,Rekonštrukcia internátu Hviezda (aktualizácia pred podpisom zmluvy),Renovation of the Hviezda dormitory (update before signing the contract),,,hodnotenie,evaluation,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/budovy/hodnotenie_hviezda_aktualizacia_pred_podpisom.pdf,30.5.2025,140 kB,3.033,SLK_BD-002,,Neutral,"The update highlights that the selected bid for Stage II is 23.5% below the estimated contract value (31.2 mil. EUR with VAT vs. 40.8 mil. EUR PHZ) and that total project costs should not exceed the original study estimate (with VAT changes to be considered). Financing is secured through the Recovery Plan (24 mil. EUR) and the state budget with no uncovered fiscal impact. However, the assessment calls for a concrete plan to fully utilize the building (516 initial staff vs. at least 723 needed for efficient use) and to address the free space in both the renovated and original buildings, indicating caution rather than an explicit go/no-go recommendation.",Not specified,Not specified,"Not specified - The document does not present an internal rate of return or a benefit-cost ratio, so viability relative to any EIIR threshold cannot be assessed.",No,gpt-5
Budovy,Optimalizácia priestorového zabezpečenia v rezorte zdravotníctva,Optimization of spatial security in the health department,,,hodnotenie,evaluation,https://www.mfsr.sk/files/archiv/83/Hodnotenie_Najom_MZSR_20250702.pdf,2.7.2025,444 kB,3.034,SLK_BD-001,,,,,,,,
Budovy,Obnova a rozvoj Kúpeľov Sliač,Restoration and development of Spa Sliač,,,štúdia uskutočniteľnosti,feasibility study,https://www.kupelesliac.sk/wp-content/uploads/2023/02/CBA_Kupele-Sliac.pdf,,,3.036,SLK_BD-019,PDF,,,,,,,
Budovy,Komplexná rekonštrukcia historickej budovy Slovenského národného divadla,Complex reconstruction of the historical building of the Slovak National Theatre,,,štúdia uskutočniteľnosti,feasibility study,https://snd.sk/sites/default/files/HB/studia_uskutocnitelnosti_komplexnej_rekonstrukcie_hb_snd.pdf,,,3.037,SLK_BD-025,PDF,,,,,,,
Budovy,Úrad vlády SR - Rekonštrukcia kaštieľa v Rusovciach,Slovak Government Office - Reconstruction of the mansion in Rusovce,,,stanovisko,opinion,https://www.mfsr.sk/files/archiv/uhp/3370/76/Stanovisko-Rekonstrukcia-kastiela-Rusovciach.pdf,,,3.038,SLK_BD-033,,,,,,,,
Budovy,Úrad vlády SR - Rekonštrukcia kaštieľa v Rusovciach (Aktualizované hodnotenie),Slovak Government Office - Reconstruction of the mansion in Rusovce (Updated assessment),,,stanovisko,opinion,https://www.mfsr.sk/files/archiv/46/rusovce_stanovisko_UHP_20200109c.pdf,,,3.039,SLK_BD-030,,,,,,,,
Budovy,Budova Najvyššieho súdu SR,The building of the Supreme Court of the Slovak Republic,,,štúdia uskutočniteľnosti,feasibility study,https://www.nsud.sk/data/att/ade/700713.0f4fc9.pdf,,,3.04,SLK_BD-013,PDF,,,,,,,
Budovy,Rekonštrukcia internátu Hviezda,Reconstruction of the Hviezda dormitory,,,štúdia uskutočniteľnosti,feasibility study,https://www.mosr.sk/data/files/5500_tus_rekonstrukcia-internatu-hviezda.pdf,,,3.041,SLK_BD-004,PDF,,,,,,,
Budovy,Rekonštrukcia internátu Hviezda (aktualizácia pred podpisom zmluvy),Renovation of the Hviezda dormitory (update before signing the contract),,,štúdia uskutočniteľnosti,feasibility study,https://www.mosr.sk/data/att/164039.pdf,,132 kB,3.042,SLK_BD-002,PDF,,,,,,,
Budovy,Výstavba novej univerzitnej nemocnice v Martine (aktualizácia),Construction of the new university hospital in Martin (update),,,štúdia uskutočniteľnosti,feasibility study,https://www.unm.sk/sites/default/files/unm-sv-martin/formular_na_aktualizaciu_studie_uskutocnitelnosti_unsvm.pdf,,,3.043,SLK_BD-024,PDF,,,,,,,
Budovy,Výstavba novej univerzitnej nemocnice v Martine (aktualizácia pred podpisom zmluvy),Construction of the new university hospital in Martin (update before signing the contract),,,štúdia uskutočniteľnosti,feasibility study,https://www.unm.sk/storage/app/uploads/public/665/d6b/988/665d6b9889bf2401837114.pdf,,,3.044,SLK_BD-008,PDF,,,,,,,
Budovy,Administratívna budova Úradu vlády Slovenskej republiky „Čajka“,"Administrative building of the Office of the Government of the Slovak Republic ""Cajka""",,,Štúdia uskutočniteľnosti,Feasibility study,https://www.vlada.gov.sk/administrativna-budova-cajka-studia-uskutocnitelnosti/,,,3.045,SLK_BD-028,Complex File | Broken link on Website,,,,,,,
Budovy,Koncepcia rozvoja Fakultnej nemocnice s poliklinikou F. D. Roosevelta Banská Bystrica (aktualizácia),The development concept of the Faculty Hospital with F. D. Roosevelt Polyclinic Banská Bystrica (update),,,štúdia uskutočniteľnosti,feasibility study,https://www.fnspfdr.sk/aktualizacia-studie-uskutocnitelnosti-pred-vyhlasenim-verejneho-obstaravania%ef%bf%bc/,,,3.046,SLK_BD-007,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Budovy,FN Žilina – Výstavba nového pavilónu urgentnej medicíny,FN Žilina – Construction of a new emergency medicine pavilion,,,Štúdia uskutočniteľnosti,Feasibility study,https://www.fnspza.sk/o-nemocnici/investicny-zamer-fnsp-zilina/pavilon-urgentnej-mediciny/studia-realizovatelnosti,,,3.047,SLK_BD-011,"XLSX | Complex File | URL pointing to Various PDFs including XLSX, Docs, Maps and Tables",,,,,,,
Budovy,Koncepcia rozvoja Univerzitnej nemocnice L. Pasteura Košice,Development concept of the L. Pasteur University Hospital in Košice,,,Štúdia uskutočniteľnosti,Feasibility study,https://unlp.sk/o-nasej-nemocnici/otvorena-nemocnica/projekty/,,,3.048,SLK_BD-017,"XLSX | Complex File | URL pointing to Various PDFs including XLSX, Docs, Maps and Tables",,,,,,,
Budovy,Národný ústav detských chorôb - koncepcia rozvoja na najbližších 15 rokov,National Institute of Children's Diseases - development concept for the next 15 years,,,Štúdia uskutočniteľnosti,Feasibility study,https://nudch.eu/analyza_rozvoja#,,,3.049,SLK_BD-021,Complex File | URL,,,,,,,
Budovy,Obnova areálu Rastislavova UNLP,Renewal of the Rastislavova UNLP campus,,,Štúdia uskutočniteľnosti,Feasibility study,https://unlp.sk/o-nasej-nemocnici/otvorena-nemocnica/projekty/,,,3.05,SLK_BD-015,"XLSX | Complex File | URL pointing to Various PDFs including XLSX, Docs, Maps and Tables",,,,,,,
Budovy,Optimalizácia priestorového zabezpečenia v rezorte zdravotníctva,Optimization of spatial security in the health sector,,,Štúdia uskutočniteľnosti,Feasibility study,https://www.health.gov.sk/Clanok?Dok_SU_OPZ_MZSR,,,3.051,SLK_BD-001,Complex File | Zip,,,,,,,
Budovy,"Prenájom priestorov pre Ministerstvo školstva, výskumu, vývoja a mládeže SR","Lease of premises for the Ministry of Education, Research, Development and Youth of the Slovak Republic",,,Štúdia uskutočniteľnosti,Feasibility study,https://www.minedu.sk/analyza-alternativ-k-zjednoteniu-priestorov-ministerstva-skolstva-vyskumu-vyvoja-a-mladeze-slovenskej-republiky-v-bratislave/,,,3.052,SLK_BD-009,"XLSX | Complex File | URL pointing to Various PDFs including XLSX, Docs, Maps and Tables",,,,,,,
